index,Name
0,機械工程系
0,車輛工程系
0,車輛工程系(所)
0,能源與冷凍空調工程系
0,能源與冷凍空調工程系(所)
0,機電整合研究所
0,製造科技研究所
0,自動化科技研究所
0,機電學院機電科技博士班
1,電資學士班
1,電資學院外國學生專班
1,電腦與通訊研究所
1,電機工程系
1,機電學士班
1,電機工程系(所)
1,電子工程系
1,電力電子產業碩士專班
1,電子工程系(所)
1,資訊工程系
1,資訊工程系(所)
1,光電工程系
1,光電工程系(所)
1,光電技術研究所
2,化學工程與生物科技系
2,化學工程與生物科技系(所)
2,材料及資源工程系
2,土木工程系
2,土木工程系(所)
2,土木工程系土木與防災
2,分子科學與工程系有機高分子
2,分子科學與工程系
2,分子科學與工程系(所)
2,材料科學與工程研究所
2,資源工程研究所
2,環境工程與管理研究所
2,工程科技學士班
2,工程學院工程科技博士班
2,有機染化紡織產業碩士專班
3,工業工程與管理系
3,工業工程與管理系(所)
3,經營管理系
3,經營管理系(所)
3,資訊與財金管理系
3,資訊與財金管理系(所)
3,管理學院外國學生專班
3,管理學院管理博士班
3,管理學院管理
3,EMBA
3,IMBA
4,創意設計學士班
4,工業設計系
4,工業設計系(所)
4,建築系
4,建築系(所)
4,互動設計系
4,互動設計系(所)
4,創意設計學士班
4,設計學院設計博士班
5,應用英文系
5,應用英文系(所)
5,技術及職業教育研究所
5,智慧財產權研究所
5,文化事業發展系
6,圖書資訊處
6,二技學士班
6,教務處
6,計算機與網路中心
6,通識教育中心
6,秘書室
